cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj
2705903,Olho d'Água Grande,0  ,NE,AL,M,2025,4333,12207411000131
2706000,Olivença,0  ,NE,AL,M,2025,10744,12257762000157
2706109,Ouro Branco,0  ,NE,AL,M,2025,11382,12258141000198
2706208,Palestina,0  ,NE,AL,M,2025,4328,12369872000100
2706307,Palmeira dos Índios,0  ,NE,AL,M,2025,68534,12356879000198
2706406,Pão de Açúcar,0  ,NE,AL,M,2025,23721,12369880000157
2706422,Pariconha,0  ,NE,AL,M,2025,10573,35634435000172
2706448,Paripueira,0  ,NE,AL,M,2025,13991,35561471000153
2706505,Passo de Camaragibe,0  ,NE,AL,M,2025,13870,12342655000127
2706604,Paulo Jacinto,0  ,NE,AL,M,2025,6570,12335030000138
2919108,Lamarão,0  ,NE,BA,M,2025,9062,13844071000112
2919157,Lapão,0  ,NE,BA,M,2025,25713,13891528000140
2919207,Lauro de Freitas,0  ,NE,BA,M,2025,220437,13927819000140
2919306,Lençóis,0  ,NE,BA,M,2025,11022,14694400000159
2919405,Licínio de Almeida,0  ,NE,BA,M,2025,11848,14108286000138
2919504,Livramento de Nossa Senhora,0  ,NE,BA,M,2025,43898,13674817000197
2919553,Luís Eduardo Magalhães,0  ,NE,BA,M,2025,108271,04214419000105
2919603,Macajuba,0  ,NE,BA,M,2025,10463,13810841000106
2919702,Macarani,0  ,NE,BA,M,2025,21556,13751540000159
2919801,Macaúbas,0  ,NE,BA,M,2025,41631,13782461000105
2919900,Macururé,0  ,NE,BA,M,2025,7600,14217343000117
2919926,Madre de Deus,0  ,NE,BA,M,2025,18767,33919960000109
2919959,Maetinga,0  ,NE,BA,M,2025,6968,13284641000167
2920007,Maiquinique,0  ,NE,BA,M,2025,9452,13751821000101
2920106,Mairi,0  ,NE,BA,M,2025,16122,14212872000128
2920205,Malhada,0  ,NE,BA,M,2025,15426,14105217000170
2920304,Malhada de Pedras,0  ,NE,BA,M,2025,8673,14106561000184
2920403,Manoel Vitorino,0  ,NE,BA,M,2025,13327,13894886000106
2920452,Mansidão,0  ,NE,BA,M,2025,13902,13348529000142
2920502,Maracás,0  ,NE,BA,M,2025,27747,13910203000167
2920601,Maragogipe,0  ,NE,BA,M,2025,38394,13784384000122
2920700,Maraú,0  ,NE,BA,M,2025,24713,13848973000127
2920809,Marcionílio Souza,0  ,NE,BA,M,2025,9256,13765219000123
2920908,Mascote,0  ,NE,BA,M,2025,11991,13818018000147
2921005,Mata de São João,0  ,NE,BA,M,2025,48698,13805528000180
2921054,Matina,0  ,NE,BA,M,2025,10338,16417800000142
2921104,Medeiros Neto,0  ,NE,BA,M,2025,23096,13786520000113
2921203,Miguel Calmon,0  ,NE,BA,M,2025,27817,13913363000160
2921302,Milagres,0  ,NE,BA,M,2025,11076,13720263000117
2921401,Mirangaba,0  ,NE,BA,M,2025,15050,13913371000106
2921450,Mirante,0  ,NE,BA,M,2025,10072,16416521000164
2921500,Monte Santo,0  ,NE,BA,M,2025,47758,13698766000133
2921609,Morpará,0  ,NE,BA,M,2025,8303,13798574000107
2921708,Morro do Chapéu,0  ,NE,BA,M,2025,33389,13717517000148
2921807,Mortugaba,0  ,NE,BA,M,2025,11131,13677687000146
2921906,Mucugê,0  ,NE,BA,M,2025,12988,13922562000134
2922003,Mucuri,0  ,NE,BA,M,2025,38082,13761705000173
2922052,Mulungu do Morro,0  ,NE,BA,M,2025,13166,16445876000181
2922102,Mundo Novo,0  ,NE,BA,M,2025,20564,13795380000140
2922201,Muniz Ferreira,0  ,NE,BA,M,2025,7165,13796461000164
2922250,Muquém de São Francisco,0  ,NE,BA,M,2025,11029,16440778000151
2922300,Muritiba,0  ,NE,BA,M,2025,28558,13828504000146
2922409,Mutuípe,0  ,NE,BA,M,2025,20028,13827035000140
2922508,Nazaré,0  ,NE,BA,M,2025,28181,13797188000192
2922607,Nilo Peçanha,0  ,NE,BA,M,2025,12032,13758313000155
2922656,Nordestina,0  ,NE,BA,M,2025,18536,13347539000163
2922706,Nova Canaã,0  ,NE,BA,M,2025,15959,13858675000118
2922730,Nova Fátima,0  ,NE,BA,M,2025,7958,16444069000144
2922755,Nova Ibiá,0  ,NE,BA,M,2025,8325,32697583000148
2922805,Nova Itarana,0  ,NE,BA,M,2025,7820,13892187000127
2922854,Nova Redenção,0  ,NE,BA,M,2025,7525,16245334000165
2922904,Nova Soure,0  ,NE,BA,M,2025,24206,13904420000144
2923001,Nova Viçosa,0  ,NE,BA,M,2025,41089,13761531000149
2923035,Novo Horizonte,0  ,NE,BA,M,2025,11163,16255077000142
2923050,Novo Triunfo,0  ,NE,BA,M,2025,10666,16298945000171
2923100,Olindina,0  ,NE,BA,M,2025,22615,13647854000106
2923209,Oliveira dos Brejinhos,0  ,NE,BA,M,2025,22850,13798905000109
2923308,Ouriçangas,0  ,NE,BA,M,2025,7728,13648043000120
2923357,Ourolândia,0  ,NE,BA,M,2025,19322,16444150000124
2923407,Palmas de Monte Alto,0  ,NE,BA,M,2025,20091,13982590000147
2923506,Palmeiras,0  ,NE,BA,M,2025,10383,13922638000121
2923605,Paramirim,0  ,NE,BA,M,2025,20378,13675491000112
2923704,Paratinga,0  ,NE,BA,M,2025,28947,14105225000117
2923803,Paripiranga,0  ,NE,BA,M,2025,26609,14215826000182
2923902,Pau Brasil,0  ,NE,BA,M,2025,10669,13682299000153
2924009,Paulo Afonso,0  ,NE,BA,M,2025,118412,14217327000124
2924058,Pé de Serra,0  ,NE,BA,M,2025,13242,13232913000185
2924108,Pedrão,0  ,NE,BA,M,2025,6229,13648241000193
2924207,Pedro Alexandre,0  ,NE,BA,M,2025,14056,14216238000163
2924306,Piatã,0  ,NE,BA,M,2025,20098,13675681000130
2924405,Pilão Arcado,0  ,NE,BA,M,2025,35326,13692033000191
2924504,Pindaí,0  ,NE,BA,M,2025,14740,13982624000101
2924603,Pindobaçu,0  ,NE,BA,M,2025,19133,13908710000166
2924652,Pintadas,0  ,NE,BA,M,2025,9805,13896725000151
2924678,Piraí do Norte,0  ,NE,BA,M,2025,10200,13071220000158
2924702,Piripá,0  ,NE,BA,M,2025,9158,13694658000192
2924801,Piritiba,0  ,NE,BA,M,2025,17549,13795786000122
2924900,Planaltino,0  ,NE,BA,M,2025,8012,13769021000118
2925006,Planalto,0  ,NE,BA,M,2025,23290,13858907000138
2925105,Poções,0  ,NE,BA,M,2025,48197,14242200000165
2925204,Pojuca,0  ,NE,BA,M,2025,33079,13806237000106
2925253,Ponto Novo,0  ,NE,BA,M,2025,17941,16444143000122
2925303,Porto Seguro,0  ,NE,BA,M,2025,158736,13635016000112
2925402,Potiraguá,0  ,NE,BA,M,2025,11524,13752191000190
2310704,Pentecoste,0  ,NE,CE,M,2025,37853,07682651000158
2310803,Pereiro,0  ,NE,CE,M,2025,15279,07570518000100
2310852,Pindoretama,0  ,NE,CE,M,2025,24329,23563448000119
2310902,Piquet Carneiro,0  ,NE,CE,M,2025,16926,07738057000131
2310951,Pires Ferreira,0  ,NE,CE,M,2025,10603,10462208000186
2311009,Poranga,0  ,NE,CE,M,2025,11742,07438187000159
2311108,Porteiras,0  ,NE,CE,M,2025,17060,07654114000102
2311207,Potengi,0  ,NE,CE,M,2025,9637,07658917000127
2311231,Potiretama,0  ,NE,CE,M,2025,5977,12461653000157
2311264,Quiterianópolis,0  ,NE,CE,M,2025,19624,07551179000114
2311306,Quixadá,0  ,NE,CE,M,2025,80701,23444748000189
2311355,Quixelô,0  ,NE,CE,M,2025,15896,06742480000142
2311405,Quixeramobim,0  ,NE,CE,M,2025,78502,07744303000168
2311504,Quixeré,0  ,NE,CE,M,2025,20863,07807191000147
2311603,Redenção,0  ,NE,CE,M,2025,25813,07756646000142
2311702,Reriutaba,0  ,NE,CE,M,2025,18603,07598667000187
2311801,Russas,0  ,NE,CE,M,2025,72609,07535446000160
2311900,Saboeiro,0  ,NE,CE,M,2025,13755,07811946000187
2311959,Salitre,0  ,NE,CE,M,2025,16635,12464491000100
2312007,Santana do Acaraú,0  ,NE,CE,M,2025,28436,07598659000130
2312106,Santana do Cariri,0  ,NE,CE,M,2025,16981,07597347000102
2312205,Santa Quitéria,0  ,NE,CE,M,2025,40239,07725138000105
2312304,São Benedito,0  ,NE,CE,M,2025,47657,07778129000174
2312403,São Gonçalo do Amarante,0  ,NE,CE,M,2025,60126,07533656000119
2312502,São João do Jaguaribe,0  ,NE,CE,M,2025,5855,07891690000165
2312601,São Luís do Curu,0  ,NE,CE,M,2025,10856,07623051000119
2312700,Senador Pompeu,0  ,NE,CE,M,2025,24256,07728421000182
