exercicio,cod_ibge,populacao,instituicao,entregavel,periodo,periodicidade,status_relatorio,data_status,forma_envio,tipo_relatorio
2015,53,2852372,Câmara Legislativa do Distrito Federal,Relatório de Gestão Fiscal,1,Q,HO,2015-11-17T16:50:35Z,F,P
2015,53,2852372,Câmara Legislativa do Distrito Federal,Relatório de Gestão Fiscal,2,Q,HO,2015-11-17T16:51:18Z,F,P
2015,53,2852372,Câmara Legislativa do Distrito Federal,Relatório de Gestão Fiscal,3,Q,HO,2016-02-02T14:08:40Z,P,P
2015,53,2852372,Defensoria Pública do Distrito Federal,Relatório de Gestão Fiscal,1,Q,HO,2015-10-02T00:30:51Z,F,P
2015,53,2852372,Defensoria Pública do Distrito Federal,Relatório de Gestão Fiscal,2,Q,HO,2015-10-02T00:30:51Z,F,P
2015,53,2852372,Defensoria Pública do Distrito Federal,Relatório de Gestão Fiscal,3,Q,HO,2016-02-02T22:31:53Z,F,P
2015,53,2852372,Governo do Distrito Federal,Balanço Anual (DCA),1,A,HO,2016-05-31T22:31:05Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório de Gestão Fiscal,1,Q,HO,2015-09-23T00:30:07Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório de Gestão Fiscal,2,Q,HO,2015-09-30T00:31:52Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório de Gestão Fiscal,3,Q,HO,2016-01-30T22:32:13Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório Resumido de Execução Orçamentária,1,B,HO,2015-04-08T00:30:08Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório Resumido de Execução Orçamentária,2,B,HO,2015-06-12T00:30:33Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório Resumido de Execução Orçamentária,3,B,HO,2015-07-31T00:30:50Z,F,P
2015,53,2852372,Governo do Distrito Federal,Relatório Resumido de Execução Orçamentária,4,B,HO,2015-09-30T00:31:52Z,P,P
2015,53,2852372,Governo do Distrito Federal,Relatório Resumido de Execução Orçamentária,5,B,HO,2015-11-30T22:33:03Z,F,P
2015,53,2852372,Governo do Distrito Federal,Relatório Resumido de Execução Orçamentária,6,B,HO,2016-01-30T22:31:49Z,P,P
2015,53,2852372,Tribunal de Contas do Distrito Federal,Relatório de Gestão Fiscal,1,Q,HO,2015-09-30T19:18:36Z,F,P
2015,53,2852372,Tribunal de Contas do Distrito Federal,Relatório de Gestão Fiscal,2,Q,HO,2015-09-30T17:50:22Z,F,P
2015,53,2852372,Tribunal de Contas do Distrito Federal,Relatório de Gestão Fiscal,3,Q,HO,2016-02-11T15:34:00Z,F,P
